start	end	text
0	16000	...
16000	20000	Primero hablamos de un formalismo
20000	24000	y de los limbojas regulares
24000	32000	y terminamos hablando de normalización de textos
32000	36000	que es esencialmente tenemos un texto
36000	40000	un texto escrito
40000	42000	así como lo recibimos
42000	46000	y lo trabajamos de forma de que sea mejor
46000	50000	más adecuado por un su siguiente procesamiento
50000	54000	y ahí identificamos algunas tareas, principales de ellas
54000	57000	lo que se llama la tokenización, que es la separación
57000	59000	en los componentes mínimas
59000	65000	pero son modos podríamos identificamos las palabras
65000	69000	hablamos de algunas técnicas de tokenización
69000	74000	y de algunos de algunos
74000	80000	algunas técnicas relacionadas que pueden facilitar
80000	82000	dependiendo de la tarea en la que estamos
82000	84000	la tarea siguiente por ejemplo
84000	88000	llevar todo a minúsculas por ejemplo
88000	92000	o a buen mamá yúscul
92000	96000	o identificar algún tipo de entidades como por ejemplo los números
96000	99000	o las fechas
99000	106000	y identificar toda esa área que se llama reconocimiento entidades con nombre
106000	110000	eso mismo está un área dentro del procesamiento de maquenatural
110000	112000	porque no es trivial
112000	114000	porque uno puede decir bueno
114000	118000	una fecha es dos números barritas, dos números barritas, dos números
118000	121000	pero 18 de diciembre también es una fecha
121000	124000	y cuando yo digo el 18
124000	127000	voy a ir a comer un asado
127000	130000	estoy hablando de una fecha pero si digo en el asado al final
130000	133000	fuimos 18, ese 18 no es una fecha
133000	136000	esto es el problema del reconocimiento entidades con nombre
136000	140000	esto es una tarea que se realiza generalmente como un tipo de método
140000	142000	que se llama en declensificación secuencial
142000	145000	en algunas clases lo vamos a ver
149000	153000	tan así que en el grupo hemos tenido unos cuantos proyectos
153000	160000	de reconocimiento de reconocimiento de eventos
160000	164000	algo es un poco más general que las fechas
164000	171000	bueno nombre es propio, nombre de lugares
171000	174000	eso podría ser parte de la normalización del texto
174000	177000	es decir para procesar, dependiendo de lo que yo quiero hacer
177000	179000	pero yo por ejemplo estoy haciendo el análisis sin táctico
179000	182000	en la narración quiero tener el árbol de la narración
182000	185000	a mí lo único que me decía es que hay un nombre propio
185000	188000	que tiene el nombre propio y es
188000	191000	José Luis Rodríguez, Perón Salez
191000	193000	lo mismo, me interesaría tener algo ahí que diga esto
193000	195000	es un nombre propio lo que hay ya está
195000	198000	eso también puede desperse como parte de la normalización
198000	201000	bueno
202000	206000	y una cosa conexa un poco al
206000	209000	si bien no queda en la cascada pero parece interesante
209000	212000	mucharlo acá esto lo vamos un poco más adelante
212000	215000	pero en la nueva versión del libro de Yuraz
215000	217000	que aparece junto con Palabra y parece razonable
217000	219000	porque de la otra forma me quedaba descolgado
219000	221000	acá queda un poco descolgado pero menos
221000	223000	que es
223000	227000	saber la distancia, a mí me puede interesar saber la similitud
227000	229000	acá van a ver en este curso que hay
229000	232000	el concepto de similitud es muy importante
232000	234000	el concepto de distancia ¿no?
234000	238000	así que quiere decir una distancia entre
238000	241000	palabras y por qué es interesante
241000	243000	porque puede ser interesante tener una noción de distancia
243000	246000	entre palabras o documentos
246000	248000	porque puede ser interesante
248000	250000	si yo tengo dos documentos ¿por qué?
250000	252000	puede ser interesante conocer la distancia entre ellos
252000	254000	lo que sea que ellos sea
254000	261000	si yo
261000	265000	exactamente es la aproximación primera
265000	267000	saber si dos documentos hablan de mismo tema
267000	270000	es que más o menos maneja la misma palabra
270000	275000	o si quiero saber
275000	280000	si un trabajo es plagio de otro
280000	283000	o si quiero
284000	288000	agrupar por temas ciertos grupos
288000	291000	de hecho es la forma tradicional de hacer
291000	293000	de agrupar documentos
293000	295000	y de hecho el salvo de lo que van a tener que hacer
295000	298000	en el laboratorio
298000	303000	pero esto es en realidad la distancia entre
303000	306000	buscar la distancia entre dos palabras
306000	308000	es decir palabras parecidas
308000	311000	típicamente de utilidad por ejemplo
311000	313000	para corrección ortográfica
313000	316000	si yo quiero sugerir lo que me equivoqué
316000	320000	realmente lo que hago es meter malos dedos
320000	323000	y buscar y arrarle por una palabra
323000	325000	y meterme la palabra el letra antes
325000	326000	la clase viene malo un poco más
326000	329000	pero
329000	331000	el corrector de mi celular
331000	336000	generalmente hacer cosas como esas ¿no?
336000	341000	entonces tenemos una forma
341000	343000	buena de meter la distancia entre dos palabras
343000	345000	y de hecho hay una forma bastante estándar
345000	346000	de usar lo que es
346000	348000	contando la cantidad de operaciones
348000	349000	que llevan de una a la otra
349000	351000	y que son operaciones
351000	352000	insertar
352000	354000	borrar
354000	357000	o sustituir letras
357000	359000	entonces
359000	362000	la distancia de edición mínima
362000	364000	es justamente
364000	369000	el número de operaciones
369000	372000	el número de operaciones que yo necesito
372000	375000	para
375000	379000	no veo nada
379000	382000	ese
387000	392000	encontrar
392000	394000	la distancia entre dos palabras
394000	396000	no por ejemplo yo quiero saber la distancia entre
396000	397000	y tal diferencia de la palabra
397000	398000	tomo hablando
398000	401000	no vale mi nombre respondan con kilómetros
409000	412000	claramente
412000	414000	la intuición detrás de la distancia de edición
414000	417000	es
418000	421000	es que
421000	424000	palabras parecidas tienen distancia
424000	427000	menor
