start	end	text
0	22360	Bueno, bienvenidos a la segunda clase de Introducción al Procesamiento del Lenguaje Natural de esta
22360	29640	edición 2016. Hoy vamos a hablar del idioma español. Vamos a ver algunas cosas que no
29640	35640	ven desde el liceo, algunas cosas que probablemente nunca vieron. Y, bueno, va a ser un poco
35640	41160	como repaso en parte de lo que fue idioma español del liceo. Y probablemente algunos
41160	44440	de ustedes digan, qué embole idioma español del liceo, no me gustaba nada, me embolaba.
44440	49120	Entonces, bueno, vamos a tratar de ver que si bien desde un punto de vista ingenieril,
49120	55240	yo que sé, no están solos, hay mucha gente que piensa igual, en realidad hay algunas
55240	58480	cosas que son un poco arbitrarias en el idioma, pero hay muchas otras cosas que desde un punto
58480	63160	de vista ingenieril se pueden analizar bien y se pueden formalizar y se pueden construir
63160	70200	modelos y teorías que funcionan bien. Entonces, claro, lo que pasa con el idioma es que es
70200	74080	una herramienta cultural, es algo que es compartido por un grupo de gente. Entonces, ese grupo
74080	78240	de gente se pone de acuerdo de alguna manera en cómo se comunican, establecen un protocolo,
78240	83920	establecen mensajes que tienen que intercambiar entre ellos. Y por el hecho de que es cultural,
83920	88280	entonces esto ha ido evolucionando a lo largo de la historia. Entonces, lo que pasa es que
88280	91960	el idioma siempre tiene una parte lógica, porque se necesita para describir el universo,
91960	96640	se necesita para poder comunicarse y todo eso obedece ciertas reglas lógicas. Y tiene
96640	100360	otra parte histórica que, bueno, la gente decidió hablar de esa manera y además fue
100360	103960	evolucionando a lo largo del tiempo. Entonces, hay cosas que hoy nos parecen raras como funcionan,
103960	108560	pero porque históricamente tenían un sentido. Entonces, por eso es como que tiene las dos
108560	112920	partes. En la parte lógica, los ingenieros en general nos sentimos bastante bien porque,
112920	117840	bueno, tiene reglas, es más o menos estable, lo podemos predecir. La otra parte, no tanto,
118200	122080	como que se escapa un poco y hay cosas que parecen un poco arbitrarias. Pero vamos a ver que,
122080	127360	en realidad, todo es igual, se puede formalizar o gran parte de eso se puede formalizar y se
127360	138200	puede ver bien desde un punto de vista de la ingeniería. Entonces, bueno, un poco la idea
138200	143760	detrás de esta clase, la de hoy y la clase que viene, es tratar de nivelarnos a todos en un nivel
143760	149480	mínimo del conocimiento necesario que necesitan tener para el idioma español. Porque después,
149480	154200	al final de estas dos clases, después ya va a empezar el resto del curso de Procesamiento
154200	158640	del Lenguaje Natural. Y, bueno, ya se asume que ustedes ya van a conocer qué es un nombre,
158640	162680	qué es un verbo, qué es un grupo nominal, qué es un sujeto, etcétera. Todo ese tipo de cosas.
162680	166320	Se asume que ya lo van a saber, entonces no lo vamos a estar explicando de vuelta. Así que,
166320	170960	bueno, al final de estas dos clases deberían tener todo ese conocimiento incorporado.
170960	177000	Bueno, vamos a ver, viendo un poco el resumen de los temas que vamos a tratar en estas dos clases.
177000	185800	Primero vamos a ver cuál es, digamos, la gramática. O sea, qué significa gramática y cuál es su
185800	190520	objeto de estudio. En particular, vamos a concentrar en qué es una oración. Después vamos a hablar un
190520	194800	poco de las palabras y cómo se catalogan las palabras del lenguaje. Y después las estructuras
194800	198320	más grandes que la palabra. Yo puedo agrupar palabras de distintas maneras en cosas que se
198320	203960	llaman sintagmas. Y, bueno, esos también tienen categorías. Y después vamos a ver un poco cómo
203960	207880	esos sintagmas actúan dentro de una oración. Pueden tener cierta función, pueden tener cierto rol.
207880	212200	Y, bueno, vamos a hablar un poco de la estructura argumental de los verbos. Esto va a ser en esta
212200	222200	clase y la que viene. Bueno, ¿qué es la gramática? Ustedes vieron ya en la carrera gramáticas en
222200	230200	alguna materia, ¿no? ¿En qué materia vieron gramáticas? ¿Se acuerdan? En teoría del lenguaje.
230200	237320	¿Qué veían ahí? Entre el lenguaje veían una cosa llamada gramática libre de contexto. No sé si
237320	246800	les suena de algo. Bien, las gramáticas libres de contexto son un tipo de gramática formal que sirve
246800	250840	para describir cierto tipo de lenguajes, lenguajes formales. En particular, lenguajes libres de
250840	257600	contexto. También se utilizan para modelar el lenguaje natural, pero no son las mejores. Digamos,
257600	261520	en este curso vamos a ver ejemplos de gramáticas libres de contexto usadas para modelar el lenguaje
261520	267000	natural. Pero, bueno, no son lo ideal. Igual lo que se refiere en esta slide sobre gramática no se
267000	273480	refiere tanto a la gramática como formalización, como una descripción del lenguaje, sino que es
273480	278160	¿qué es la gramática en el estudio? O sea, ¿qué estudia la gramática en general? La gramática en
278160	281600	general es una disciplina que estudia cuáles son las unidades del lenguaje. Agarra un lenguaje
281600	285960	natural y estudia sus unidades, como por ejemplo las palabras, las oraciones, y cómo se combinan
285960	292840	esas unidades para formar, bueno, todo el lenguaje, digamos. Entonces estudia las unidades significativas
292840	298240	del lenguaje y su combinatoria. Hay otras definiciones que además incluyen la semántica,
298240	302000	o sea, el estudio del significado. Nosotros no vamos a entrar en esas definiciones, no vamos a
302000	308840	quedar más que nada en la, bueno, en la definición que es más bien sintáctica. Entonces la gramática
308840	314240	como disciplina compone estas dos partes que están acá, que son la morfología y la sintaxis. La
314240	320440	morfología estudia la formación de las palabras. Digamos, tiene como unidad de estudio las palabras,
320440	324600	va desde los morfemas, que son unidades más pequeñas, hasta palabras. Y después la sintaxis
324960	328600	estudia las palabras y la forma en que se combinan para generar oraciones.
331280	336120	Entonces la morfología tiene como unidad mínima el morfema. De ahí aparece una palabra separada
336120	341000	en morfemas, la palabra prehistóricos, que está compuesta por el morfema histor, digamos, tiene esa
341000	345280	raíz, que se refiere a algo de historia. Después le agregamos un prefijo pre, que significa que voy
345280	349880	a hablar algo que está antes de la historia. Y después le agrego sufijos eco y ese y lo transformo
349880	357840	en un sustantivo plural. Entonces esa descomposición en morfemas de la palabra ya me está dando un
357840	361560	montón de información acerca de qué es esa palabra. Entonces la morfología estudia eso,
361560	365520	estudia cómo descomponer las palabras en morfemas y la unidad máxima de estudio es la palabra.
367520	374520	Un caso interesante de esto es, por ejemplo, cuando yo tengo una palabra en español como perro,
374520	381400	la morfología en general la descompone como para decir, bueno, yo tengo una raíz que es perro y le
381400	386520	agrego un sufijo o y eso lo que hace es transformarlo en algo que es masculino singular. Pero además yo
386520	393320	puedo tener algo similar, que es esa misma raíz, pero con una a y se transforma en femenino singular.
393320	398280	O si no, le puedo agregar a cualquiera de las dos, le puedo agregar una s y los transformo en plurales.
398760	404960	Esa descomposición en morfemas es algo que estudia la morfología. Y bueno, el conjunto de todas estas
404960	409280	palabras, digamos, todas las que salen de la misma raíz y yo les agrego, las puedo transformar en
409280	414520	masculino o en femenino y las puedo transformar en plural o en singular. Vamos a poner los otros
414520	423080	ejemplos. Este efecto de agarrar una palabra y poder transformarla a plural y a singular o transformarla
423080	427160	masculino o femenino se llama flexión de la palabra. O sea, yo digo que tengo una palabra base
429280	436360	yo tengo una palabra base como perro y la puedo flexionar de manera de transformarla en femenino,
436360	441320	transformarla en plural o transformarla en femenino plural. Entonces, todo esto se conoce como el
441320	451280	paradigma flexivo de una palabra. ¿Por qué les digo esto ahora? Porque lo vamos a necesitar un
451280	456440	poquito después en esta clase. Un poco, alguna idea esa de que las palabras se flexionan para
456440	461040	tener distintos atributos. Pero en realidad en esta clase no vamos a hablar mucho más de
461040	464920	morfología, sino que solamente es un breve pantallazo. Más adelante en el curso se va a dar
464920	469840	nociones bastante más profundas. Lo que sí nos vamos a concentrar es en la segunda parte,
469840	475680	la parte de sintaxis. La sintaxis no se concentra en los morfemas, sino que asume que ya tengo
475680	481640	palabras, el idioma ya está compuesto por palabras, y estudia desde la palabra cómo se combina hasta
481840	485800	una oración. Y en el medio, las cosas que están, las estructuras intermedias que aparecen,
485800	490880	se denominan sintagmas. Son cosas que no llegan a hacer oraciones, sino que son grupos de palabras
490880	495880	que se quedan en el medio. Y bueno, vamos a ver un poco de qué se trata todo esto. Bueno,
495880	501560	este diagrama aparece lo que les decía. La morfología estudia desde el morfema hasta la palabra y la
501560	505320	palabra, digamos, es como la unidad base de la sintaxis que estudia desde la palabra hasta la
505320	510360	oración. Bueno, y todo eso compone la gramática que es, bueno, el estudio de todo esto, de las
510360	517840	unidades del lenguaje y cómo se combina. Bueno, lo que les decía. Lo que vamos a ver ahora son
517840	523480	algunos elementos de sintaxis. La morfología se va a ver más adelante en otras partes del curso.
531480	535080	Entonces, empecemos definiendo lo que es una oración. Todos tenemos una idea media intuitiva
535080	537680	de qué es una oración. ¿Alguien me puede dar un ejemplo de oración?
541160	542200	¿Una oración cualquiera?
543720	548240	El perro va a pasear. Es una oración válida. O sea, ¿cómo sabemos que eso es una oración?
548240	553320	Si yo tengo un texto en español, digamos, tengo un montón de palabras en español tiradas y quiero
553320	558600	separarlas en oraciones. ¿Cómo puedo hacer? ¿A quién se le ocurre una forma?
562240	567520	Con un punto. O sea, una forma puede ser entonces este criterio que es el criterio
567520	572120	lexicográfico. Agarro las secuencias que empiezan en una mayúscula y terminan en un punto.
572120	577160	Y esa será la idea, ¿no? Bien. Ese es un criterio. Entonces yo tengo una secuencia de texto,
577160	580280	empiezo buscando mayúscula, llego hasta el punto, después siguiente mayúscula,
580280	585040	llego hasta el punto, etcétera, y con eso parto en oraciones. ¿Qué problemas puede tener esto?
591040	595680	Claro, bien. Y además, o sea, hay problemas por todos lados.
597680	601080	¿Tenéis más o no? ¿Puede tener muchas oraciones o no?
601080	605040	Claro, porque si solamente nos guiamos por el criterio lexicográfico, alguien puede venir a escribir
605040	609720	algo como esto de acá. El doctor Foster visitó la ONU, esta es otra oración nueva, y ahí aparecen
609720	613720	puntos en el medio y aparecen mayúsculas que no son inicios de oraciones. Entonces es como que
613720	619600	rápidamente se nos rompe. Directamente podemos, o sea, si utilizáramos esta estrategia para parcear
619600	625160	ahí, para cortar ese texto en oraciones, nos quedaría una oración el doctor y después Foster
625160	629640	visitó la O y después otra oración que es N y otra oración que es U. Entonces es como que ya
629640	635400	rápidamente se rompe y no estaría funcionando ese criterio. Entonces vamos a tratar de dar otras
635400	642000	definiciones. Vamos a dar una que es el criterio gramatical de cómo reconocer oraciones. Decimos
642000	648520	que una porción de texto, un conjunto de palabras, si es una oración, si es un verbo conjugado y
648520	654440	además esa porción de texto tiene independencia sintáctica. Entonces esa definición es bárbara
654440	658000	porque ahora no sabemos qué es independencia sintáctica. O sea, en realidad les cambié una
658000	663200	definición por otra. Pero bueno, vamos a tratar de, primero vamos a tratar de dar una idea un poco
663200	667440	intuitiva de qué se trata eso y después vamos a tratar de verlo un poco más formalmente en esta
667440	672480	clase en la que viene. Pero bueno, hay algo que sí sabemos reconocer que son los verbos conjugados.
