start	end	text
0	21920	Bueno, ¿cómo anda bienvenidos a la versión 2016 del curso del presidente del
21920	31200	libro Aginatural, introducción el pensamiento al libro Aginatural, son unos cuantos, que
31200	39640	este es un curso que hace 10 años, sino me equivoco, estamos dando, que se ha venido
39640	47240	afianzando, y lo que intenta presentar son los fundamentos de lo que se llama por el
47240	52800	pensamiento del lenguaje natural, que es esencialmente como procesar con computadoras de una forma
52800	65400	más o menos, eficiente el lenguaje, en la clase de hoy la idea es presentar un poquito en
65400	74480	que consiste el curso y dar una introducción general, y bueno, y en la asusión a clase
74480	80640	lo que le vamos a tratar de recorrer es todos los temas o los grandes temas del
80640	84840	precisamente el lenguaje natural, y el lenguaje natural van a ver que es una cosa que tiene
84840	93080	mucho muchas etapas, y en cada una de ellas se puede profundizar mucho, la idea de este curso
93080	98520	como es un nombre de lindicas, es un curso de introducción, es un curso, a me gusta decir que
98520	109400	es un curso más este largo que profundo digamos, o sea, tratamos de cubrir los temas principales,
109400	115000	y los algoritmos y metos principales, pero teniendo claro y presente que en cada un
115000	119720	prácticamente o prácticamente todos los temas que nosotros tocamos, pede profundizar
119720	130800	muchísimo, la idea de el curso es generar los austeles de un set de primero de los conocimientos
130800	137940	básicos que se necesitan para del dominio, es decir, la semana que viene conmigo a
137940	143120	tener un par de clases de la que llamamos, voy a hablar el hiceo, digamos, español,
143120	148960	digamos, para entender el dominio del que estamos hablando, y luego un conjunto de herramientas
148960	153520	y metos tradicionales, tratando de tener una visión tanversal de meto, porque hay metos que
153520	158160	van a ver que se repite, es un poco ese esel objetivo, es decir, vamos a que hemos con un
158160	169480	poco de la delojato del curso, los docentes somos el Luis Chiruso que está por acá delante,
169480	173640	y ya sí, se va a yo que se suma este año y que va a encargarse el laboratorio y que
174600	184040	el horario es el, los martes en el salón 3006 donde estaba moviendo a ver si entramos y los jueves
184040	193120	en este salón 3001 deben de 22 horas, es decir, si le parece que el horario no es el mejor,
193120	198240	piensen que en la primera discusos era este horario pero en el salón segundo susuelas,
198240	204160	sin frío ríblio, se aticienta, se afortunados de estar acá, este es el corrio para el docente de
204160	209640	grupo, esta era página web, pero en realidad la página web lo que tiene es sólo datos fijo
209640	213520	y lo que hay, nos vamos a esa heva y media también que donde vamos a gestionar todo
213520	218280	la animación del curso, vamos a tratar de que todo el vínculo del curso se haga a través de
218480	227080	publicación, entrega, mensaje, bla bla, de acuerdo, se dice haya que un lado a mente
227080	233720	arrupe porque yo no sé lo para, bueno la modalidad y el curso es, tratamos de que sea un curso
233720	246000	participativo, eso van a ver qué es este tiene que ver también con como evaluamos, pero un poco
246240	250640	el objetivo de curso es decir que yo le decía de presentarle el procedimiento de vosotros, pero
250640	258920	uno de los objetivos, adicionales, lo que van a nosotros es muy importante es tratar de que
258920	267400	este curso sea una especie de introducción a la investigación, como como también se ha estado
267400	274560	como pocrado, donde esencialmente la diferencia con los cursos tradicionales, es que podría decir
274560	281720	que acabale, que haya preguntas sin respuestas, o pregunta que queden plantear o cosas que
281720	287080	podemos decir, no sabemos cómo se hace, que no hay una receta, bueno entonces un poco tratar de
287080	291960	transmitir eso, que es lo que pasa siempre cuando una investida, si se encuentra con cosas que
291960	295760	no sabe cómo hacerla, que no tiene un docente que sabe todo lo que le va a decir entonces
296000	308760	de esta forma, un poco introducir los en ese, la clase van a ser tío rico prácticas, vamos a
308760	315960	hacer presentaciones, y vamos a mostrar los principales algoritmos, vamos a poner algunos prácticos
315960	323320	que nunca nadie lo sabe, pero bueno, cada cual, en los que lo hacen lo sabemos, y además vamos
323320	330400	a estar en la parte de este año, que lo agradecemos,encialmente a los amigos de OpenFing,
330400	338960	esto van a poder ver en su casa, yo igual les recomiendo que venir en realidad no les va a cambiar
338960	344360	nada desde el punto de vista de los temas del curso, porque vamos a publicar todo y la clase
344360	348280	van a estar afirmada, pero yo creo que está bueno venir por hay cosas que se transmiten
348280	354880	en mano a mano que sirven, pero es una decisión de ustedes, estamos a hacerlo tan entretenido
354880	363360	como se pueda, como para que no quedan solos acá, y la evaluación del curso va a ser,
363360	373440	por un lado un proyecto que va a ser el 35% de los puntos, es un trabajo fútbol que presentando
373440	379960	menos ese tiempo, pero una cosa sí, algunos años hemos hecho 2 entre una, todavía no sabemos
379960	387720	bien cómo va a ser, pero es un trabajo que implica una tarea procedería que trata de aproximar
387720	393600	algo que no se ve el el histórico, que es herramientas, es decir como que pasa en el mundo real
393600	401680	como lo aplicamos, bibliotecas, cosas de esas y obtener resultados, una tarea como se resuelve,
401680	407760	que el año pasado, que sí, por ejemplo, por ejemplo, para que le dimos un corpo, un conjunto
407760	417200	de críticas de películas, y tratamos de hacer un clasificador que predijera a partir del texto
417200	424040	si la crítica era positiva, supongo que es el tipo de tareas que se hace, eso se llama
424040	432280	sentimentalisidad bastante, después también y para nosotros tiene que ver con eso que le
432280	437040	decíamos el objetivo de la investigación, la idea es que ustedes en grupo van a tener que
437040	444080	pensar en grupo de atrás, en grupo presenten un artículo científico o poner una lista
444080	453280	de artículos, es bueno, y ustedes van a tener que leerlo tratar de entenderlo y exponerlo
453280	457640	a los demás, y eso lo que uno hace esencialmente en una conferencia, lo hace realmente con
457640	466600	artículos propios, y otro grupo, la idea es que crítica es artículo, no con el ánimo de hacer
466600	471840	los estudiantes que lo presentaron pierdas, sino con el ánimo de obtener más conocimiento
471840	476120	que es lo que suceden las conferencias, entonces un poco bien por ahí, es decir, tanto el
476120	483040	que presenta, como el que lo crítica es de tratar de entender, y bueno, genera conocimiento
483040	490520	para todos los demás, y ahí como yo les decía, vale decir esto no lo entendí, la
490520	495160	no vale leer alguna vez, sino no lo entendí, hay que buscar referencia en otros lados,
495160	499320	porque hay habla de cosas que uno necesita en background, en forma de armarse, al mar y se
499400	512360	paquetito y hacer una presentación, bueno, al perdo, eso se lleva el 25% de los puntos,
512360	516960	y luego hay al final una prueba individual escrita, que es el 40% pero que tiene un mínimo
516960	525000	del 60%, nada en este curso está pensado para que sea horrible y difícil, porque
525000	530480	al ser un curso que tiene muchos temas, pedirles como les decía profundizar en un tema,
530480	536720	y sería muy amplio, digamos, ¿no? de llamas y a los temas, yo pedirle que sé para un montón
536720	542160	de cada uno, entonces la prueba generalmente es lo que va al lugar es, si ustedes conocen los
542160	551640	principales algoritmos que se presentan el curso, algunas preguntas teóricas, pero no, no, no, no,
551640	559480	no está pensada para que, para que sea muy difícil, porque hay otras intensas de evaluación,
559480	567600	quiero decir, no está todo concentrado ahí, pero si es parte de la aprobación integral del curso,
567600	573040	que quiere decir que si alguien no prueba hasta prueba, no prueba todo el curso, segur generalmente,
573040	582280	no, ponemos dos intensas, una base de afindeño y otra en febrero, sí, donde cada uno puede
582280	588880	presentarse a cualquiera de las dos, se presenta la primera, si la pierde se prenda la segunda,
588880	592880	se prenda la segunda, se prenda la segunda, si se presenta la primera y salga, no puede presentarse
592880	598880	de segunda, bueno, pues gente que puede querer subir las notas, no se puede, bueno, cosas
599200	612840	hay alguna duda del funcionamiento, no, una duda, bueno, el curso tiene esa sarea que tiene que
612840	622400	dice ahí, vamos a ver un poquito en detalle hoy general o en repasarlo, es un curso que, aunque el
622400	627320	procesamiento del lenguaje natural, como seguramente el señor de cualquier diario, que se preside
627320	634640	de modarnos, he tenido un desarrollo normal, el último daño, no sé qué, este tema yo no ha cambiado
634640	640320	tanto, porque yo lo quería mostrar es que los fundamentos vienen, como muchas cosas, de hace
640320	643840	mucho tiempo atrás, y lo que hay muyificados son los métodos y algunos, bueno, eso vamos a hablar
643840	655680	en el curso, como ven son los cuantos temas, el libro del curso es este, es pitch
655680	660000	al lenguaje procesen, en introducción trunatro al lenguaje procesen, computación en lingüística
660000	672000	en spino-recognición de martinizurafki, el libro está por salir en su tercera edición, el libro
672000	680440	cubre una cantidad de cosas, de temas más que en este curso no se ven, y es un libro muy recomendable
680440	688760	y además, idealmente ustedes deberían leer los capítulos, después de cada tema nosotros presentamos
688760	693560	los capítulos correspondientes del libro que se pueden, lo que está basado en la clase,
