start	end	text
0	22240	Bueno, ¿cómo andan? Bienvenidos a la versión 2.16 del curso de Procesamiento del Linguaje
22240	31480	Natural, Introducción al Procesamiento del Linguaje Natural. Somos unos cuantos. Este
31480	42720	es un curso que hace 10 años, si no me equivoco estamos dando, que se ha venido afianzando
42720	48120	y que lo que intenta presentar son los fundamentos de lo que se llama Procesamiento del Linguaje
48120	54200	Natural, que es esencialmente cómo procesar con computadoras de una forma más o menos
54200	65880	eficiente el Linguaje 1. En la clase de hoy la idea es presentar un poquito en qué consiste
65880	74960	el curso y dar una introducción general. Y bueno, en la sucesiva clase lo que vamos
74960	81640	a tratar de recorrer es todos los temas o los grandes temas del Procesamiento del Linguaje
81640	87960	Natural. El Procesamiento del Linguaje Natural van a ver que es una cosa que tiene muchas
87960	93800	etapas y en cada una de ellas se puede profundizar mucho. La idea de este curso como su nombre
93800	99160	lo indica es un curso de introducción, es un curso, a mi me gusta decir que es un curso
99160	110200	más largo que profundo, digamos. O sea, tratamos de cubrir los temas principales y los algoritmos
110200	116760	y métodos principales, pero teniendo claro y presente que en cada u prácticamente todos
116760	126440	los temas que nosotros tocamos se puede profundizar muchísimo. La idea del curso es generar, proveerlos
126440	135120	a ustedes de un set de, primero de los conocimientos básicos que se necesitan para, del dominio,
135120	141440	es decir, la semana que viene con Luis van a tener un par de clases, la que llamamos
141440	146320	volver al liceo, de idioma español, digamos, para entender el dominio del que estamos hablando.
146320	152440	Y luego un conjunto de herramientas y métodos tradicionales tratando de tener una visión
152440	155320	transversal de métodos porque hay métodos que van a ver que se repiten. Un poco ese
155320	167600	es el objetivo. ¿Está? Barraquemos con un poco de los datos del curso. Los docentes somos Luis Chiruso,
167600	172960	que está por acá adelante, y Yacín Cevallo, que se suma este año y que va a encargarse el laboratorio
172960	181400	y que les habla. El horario es los martes en el Salón 306, donde estábamos viendo a ver si entrábamos,
182360	192760	y los jueves en este Salón 301, de 20 a 22 horas. Si les parece que el horario no es
192760	197200	el mejor, piensen que la primera edición del curso era este horario, pero en el Salón
197200	202960	segundo subsuelo ha sido un frío horrible, o sea que siéntanse afortunados de estar acá.
202960	207920	Este es el correo para los docentes del grupo. Esta es la página web, pero en realidad la
207920	211880	página web lo que tiene son los datos fijos y lo que de ahí nos vamos es a Eva inmediatamente,
211880	217120	que es donde vamos a gestionar toda la información del curso. Vamos a tratar de que todo el vínculo
217120	223800	del curso se haga a través de Eva, publicación, entrega, mensaje, bla, bla. ¿De acuerdo?
225680	230200	Si usted si hay alguna duda me interrumpe porque yo no suelo parar. Bueno, la modalidad del curso es,
230200	242560	tratamos de que sea un curso participativo, eso van a ver que tiene que ver también con
242560	249520	cómo evaluamos, pero un poco, el objetivo del curso es ese que yo les decía de presentarle
249520	257080	el procesamiento del guaje natural, pero uno de los objetivos adicionales, lo que para nosotros es
257080	263240	muy importante es tratar de que este curso sea una especie de introducción a la investigación.
263240	272880	También se está dado como posgrado, donde esencialmente la diferencia con los cursos
272880	277000	tradicionales de grado, se podría decir que acá vale que haya preguntas sin respuestas,
277000	283360	o preguntas que queden planteadas, o cosas que podemos decir no sabemos cómo se hace,
283720	288920	que no hay una receta. ¿De acuerdo? Entonces, un poco tratar de transmitir eso que es lo que pasa siempre
288920	294240	cuando uno investiga. Si, se encuentra con cosas que no sabe cómo hacerlas, que no tiene un docente
294240	302160	que sabe todo, que le va a decir, entonces de esta forma. Un poco introducirlos en eso.
304520	312640	Las clases van a ser teóricos prácticas, vamos a hacer presentaciones y vamos a mostrar los
312640	317360	principales algoritmos, y vamos a poner algunos prácticos que nunca nadie los hace, pero bueno,
317360	326800	cada cual. Los que lo hacen, los además. Y además vamos a estar en Open Film a partir de este año,
326800	334920	quiero agradecerme esencialmente a los amigos de Open Film, lo van a poder ver desde su casa. Yo
334920	339960	igual les recomiendo que vengan, venir en realidad no les va a cambiar nada desde el punto de vista
339960	346200	de los temas del curso, porque vamos a publicar todo y las clases van a estar filmadas, pero yo
346200	350240	creo que está bueno venir porque hay cosas que se transmiten mano a mano que sirven, pero es una
350240	355840	decisión de ustedes. Trataremos de hacerlo tan entretenido como se pueda, como para que no
355840	365920	quedáramos solos acá. Y la evaluación del curso va a ser, por un lado un proyecto que va a ser el
365920	375200	35% de los puntos, es un trabajo que presentando más o menos fin de septiembre o una cosa así.
376240	384920	Algunos años hemos hecho dos en tres, una todavía no sabemos bien cómo va a ser, pero es un trabajo
384920	390240	que implica una tarea progresiva, que trata de aproximar algo que no se ve en el teórico, que
390320	397440	es herramientas, es decir, ¿qué pasa en el mundo real, cómo lo aplicamos?, bibliotecas, cosas de esas
397440	406960	y obtener resultados. Una tarea cómo se resuelve. El año pasado, el año pasado les dimos un corpus,
406960	416680	un conjunto de críticas de películas y tratábamos de hacer un clasificador que predijera a partir
416680	422520	del texto si la crítica era positiva o negativa. Supongo que es el tipo de tarea que se hace,
423240	431560	eso se llama sentiment análisis y está bastante de modo. Después también, y para nosotros tiene
431560	436000	que ver con eso que le decíamos del objetivo de la investigación, la idea es que ustedes en grupo,
436000	442240	van a tener que ir pensando en un grupo de tres, en grupo presenten un artículo científico,
442960	447600	vamos a poner una lista de artículos, ¿de acuerdo?, y ustedes van a tener que leerlo,
450120	456160	tratar de entenderlo y exponerlo a los demás. Eso es lo que uno hace esencialmente en una
456160	464480	conferencia, lo metes con artículos propios. Y otro grupo, la idea es que critique ese artículo,
464480	470560	no con el ánimo de hacer que los estudiantes que lo presentaron pierdan, sino con el ánimo de obtener
470560	476080	más conocimiento, que es lo que sucede en las conferencias. Entonces viene por ahí. Tanto el
476080	483840	que presenta como el que lo critica, tratan de entender y de generar conocimiento para todos
483840	491720	los demás. Y ahí como yo les decía, ¿vale decir esto no lo entendí? No vale leerlo una vez si no
491720	497200	lo entendí, hay que buscar referencia en otros lados, porque ahí habla de cosas que uno necesita
497200	511440	para informarse, armar ese paquetito y hacer una presentación. Eso se lleva al 25% de los puntos,
511440	517560	y luego hay al final una prueba individual escrita, que es el 40%, pero que tiene un mínimo del 60%.
520840	525680	Nada en este curso está pensado para que sea horrible y difícil, porque al ser un curso que
525680	534680	tiene muchos temas, pedirles, como les decía, profundizar en un tema sería muy amplio. Serían
534680	538920	demasiados temas, como para yo pedirles que sepan un montón de cada uno. La prueba generalmente lo
538920	545120	que evalúa es si ustedes conocen los principales algoritmos que se presentan en el curso, algunas
545120	559040	preguntas teóricas, pero no está pensada para que sea muy difícil, porque hay otras instancias de
559040	567640	evaluación, no está todo concentrado ahí. Pero sí es parte de la aprobación integral del curso,
567640	573560	que quiere decir que si alguien no aprueba esta prueba, no aprueba todo el curso. Generalmente no,
573560	582880	ponemos dos instancias, una va a ser a fin de año y otra en febrero, donde cada uno puede presentarse
582880	589320	a cualquiera de las dos. Se presenta a la primera y si la pierde se presenta a la segunda o se presenta
589320	593080	derecho a la segunda, etcétera. Si se presenta a la primera y salva no puede presentarse a las
593080	602280	segundas. Bueno, gente que puede querer subir las notas, no se puede, ponen cosas raras. ¿Alguna
602280	613240	duda del funcionamiento? ¿No? ¿Alguna duda? Bueno, el curso tiene esas áreas que dice ahí,
614240	619160	vamos a ver un poquito en detalle hoy en general, vamos a repasarlo. Es un curso que,
619240	625680	aunque el procesamiento del lenguaje natural, como seguramente le hicieron en cualquier diario
625680	633880	que se precie de moderno, ha tenido un desarrollo enorme el último año, no sé qué, este temario
633880	639440	no ha cambiado tanto porque yo lo que quería mostrar es que los fundamentos vienen como muchas
639440	643840	cosas de hace mucho tiempo atrás y lo que han modificado son los métodos y eso vamos a hablar
643840	656200	en el curso. Como ven son unos cuantos temas. El libro del curso es este, Speech and Language
656200	660000	Processing and Introduction to Natural Language Processing, Computation and Linguistics and
660000	667280	Speed Recognition, de Martín Ixurafqui. Este libro está por salir en su tercera edición.
667280	679360	El libro cubre una cantidad de cosas, de temas más que en este curso no se ven y es un libro
679360	687560	muy recomendable y además, idealmente ustedes deberían leer los capítulos, después de cada
687560	691200	tema nosotros presentamos los capítulos correspondientes del libro que se pueden,
691200	694840	en lo que está basado en la clase y ustedes deberían leerlo y saberlo,
694840	699480	cosa que nadie hace pero yo tengo la obligación de recomendarlo y me parece que es realmente
699480	709120	bueno para entender bien de qué se trata. Y bueno, esto es el libro de NLTK que es la
709120	712640	biblioteca que vamos a usar para una de las bibliotecas que vamos a usar para la parte
712640	721560	práctica, para la parte laboratorio y esto está más orientado a la implementación. NLTK es una
721560	730200	biblioteca en Python pensada principalmente para enseñar pero que muchas veces se usa en
730200	737200	producción también, ha evolucionado mucho. La plataforma de software que vamos a usar es
737200	746720	Python y NLTK, no sé cuánto, no les voy a preguntar porque ya se van a tener a leer,
746720	750240	no sé cuánto saben Python pero los que no saben van a tener que aprender y van a estar fascinados
750920	758720	y NLTK es la biblioteca. Freeling es una herramienta especialmente para el procesamiento del idioma
758720	764280	español, en estas cosas hay muchas herramientas que dependen un poco del idioma, si bien eso
764280	768520	vamos a ver que ha cambiado en los últimos años porque los métodos estadísticos son menos idioma
768520	776920	dependientes pero de todos modos no es lo mismo parciar para español que para el inglés y menos
776920	787880	para el chino. Freeling es una herramienta pensada para el español. Los laboratorios se van a
787880	797640	entregar en como notebook de IPython. ¿Conoce IPython? ¿Nadie conoce? Es una forma de distribuir,
797640	803040	ya lo van a ver, mezclar código y documentos. Es como un documento que tiene un motor de
803040	807040	programación atrás, entonces uno puede mostrar el código y explicarlo arriba en el mismo documento.
808040	823040	Y Scikit Learn que es una herramienta de aprendizaje automático genérica. Esto es lo que se pide saber,
823040	830040	formalismo de estado finito, teoría del lenguaje, gramática formales, teoría del lenguaje,
