start	end	text
0	27560	En la clase de hoy, vamos a ver un tema nuevo que es el de los modelos del lenguaje.
27560	35560	Y se volan a la clase pasada, mi modo tema que era bastante desmogra bastante diferente,
35560	46960	el de los transductores para resolver el tema de la morphología de taufinito, unas artefaltos de taufinito,
46960	56240	que permite en resolver temas, a través de un método de reglas, soy de finos reglas de cómo se conforman
56240	65240	las palabras, las combino, de cierta forma y de esa forma resuelvo el tema de convertir,
65240	71240	esto que convertir de la palabra, a su análisis y viceversa.
71240	77240	Y pues hay una segunda parte de un método que era bastante diferente, su concepción que su método estáístico,
78240	88240	que lo que haces, lo que hacía era aplicando el modelo del canal judo, aproximarse al problema de corregir el rotor gráfico.
88240	96240	Cuando yo hablo de un modelo probabilista, lo que estoy diciendo es que además de, por ejemplo,
96240	106240	clasificaros, sugerir una solución, lo que haces, asignarle probabilidades a las posibles respuestas, un método probabilista,
106240	111240	típicamente no da una respuesta, sino que devuelve una distribución de probabilidad.
111240	122240	En sí, si yo tengo varios seventos posibles, una distribución de probabilidad es un número entre 0 y 1,
122240	129240	que yo así no, a cada evento posible, de forma que la suma de todos los eventos de uno,
129240	131240	eso es lo que llamamos una distribución de probabilidad.
131240	137240	Es que sero y uno son todos, son todos, mejores, o igual que sero, menor y civil y que uno y además su suma de uno, eso es una distribución de probabilidad.
137240	141240	0, 5, 0, 25, 0, 25, es una distribución de probabilidad.
141240	147240	Se levanta uno, tiene probabilidad 0, 5, 0, 0, 25 y el otro 0, 25, eso es una distribución de probabilidad.
147240	151240	Si no suma uno, no son una distribución de probabilidad.
151240	156240	Y si yo, por ejemplo, tengo un evento, un evento que ocurre 10 veces,
156240	164240	hay un evento 2 que ocurre 5 y hay un evento 3 que ocurre 5.
164240	168240	Eso no es una distribución de probabilidad.
168240	174240	Por esto no está entre 0 y 1, porque no suma uno.
174240	184240	¿Cómo hago yo para convertir esto en una distribución de probabilidad?
185240	191240	Lo que hago es dividir por el total de ocurrencia, ¿verdad?
191240	205240	Que en este caso es 20 y eso me da la proporción, el peta 1 y eso es siempre una distribución de probabilidad.
205240	209240	Entonces, ya no normalizar para obtener una probabilidad.
209240	216240	Y tú te lo van a ver que lo vamos a ver en varias veces.
216240	225240	El método de este corrección utilizaba fortemente la releva para modelarla la situación.
225240	230240	Hasta ahora hemos hablado en todas las cosas que hemos tratado de palabras aisladas.
230240	232240	No, la morphología estudia.
232240	234240	En primer hablamos de cómo separar las palabras,
234240	238240	que pudimos como analizar lentamente, pero siempre hablábamos de palabras aisladas.
238240	246240	Acá lo que vamos a empezar a mirar es que pasa cuando las palabras aparecen juntas.
246240	259240	Sí, es decir, nosotros lo que vamos a hablar es de la.
259240	266240	La probabilidad de una secuencia de palabras.
274240	281240	¿Por qué esto importa? Porque, como ustedes bien sabran, las palabras en el idioma pagaron no aparecen solas.
281240	284240	Y no cualquier palabra sigue otra palabra.
284240	290240	Entonces, nosotros tenemos una cantidad de reglas para expresar en el idioma,
290240	294240	que hace que es el orden importe.
294240	300240	Y de lo que se trata es de ver cómo es el orden.
300240	304240	¿Cómo tenéis en cuenta si no puede ayudar a otra talidad?
304240	307240	Creo que cuando hay un ejemplo, lo vamos a mezclar.
307240	315240	Primero que nada vamos a recordar a Chonky, que esto yo lo comentaba en la primera clase,
315240	320240	a que yo de que Chonky dijo la noción de probabilidad de noiraciones,
320240	325240	completamente inútil bajo cualquier interpretación de este término.
325240	330240	Y, trancó por 20 años la investigación de esta aparición.
330240	335240	Chilini, Chilini, que volvió a revivir el tema de los métodos probabilistas,
