start	end	text
0	20760	La clase de hoy y la clase que viene, vamos a dar el tema de traducción automática.
20760	28880	Y bueno, vamos a arrancar. Por esto que se conoce como la nota de Weber,
28880	34480	o el memorando de Weber, Warren Weber era un matemático norteamericano de primera
34480	38560	mitad de siglo XX. Y el tipo trabajó durante la guerra, especialmente en cosas de
38560	42760	criptografía, en análisis estadístico, de códigos, etcétera. Entonces en un momento
42760	47920	dijo lo siguiente, dijo, es muy tentador decir que un libro escrito en chino, es simplemente un libro
47920	52560	escrito en inglés que ha sido codificado en el código chino. Si tenemos métodos útiles para
52560	56280	resolver casi cualquier problema criptográfico, no será que con la interpretación apropiada,
56280	63680	ya tendríamos métodos útiles para la traducción. El opinado, digamos, en este memorándum,
63680	70320	que los métodos que se utilizan para romper código criptográfico, que son métodos estadísticos,
70320	74960	se podían aplicar al problema de la traducción automática. Y bueno, esto introduce
74960	79520	algunas ideas clave como que puede existir un mapeo automático entre un lenguaje y otro,
79520	85440	y que codificar, de codificar en un lenguaje de sanálogo, a codificar, de codificar en
85440	93400	una ecorismo criptográfico. Y bueno, el tiro, esa idea es 1949, tomó como 50 años para que
93400	99680	esa idea madurar, digamos, y después de 50 años los métodos más utilizados, hoy en día son
99680	104800	métodos estadísticos que se basan un poco en estos principios. Pero claro, en esa época era
104800	111360	como muy difícil lugar que era lo que iba a ocurrir. Entonces, bueno, vamos a ver un poco esta
111360	115520	la agenda de lo que vamos a mirar. Vamos a llegarnos a menos hasta la mitad hoy y después la clase
115520	121120	siguiente. Y empecemos con un poco de historia de lo que es la traducción automática. Esto empezó
121120	126120	como muchas otras tecnologías, como una tecnología militar, con fines militares. Inicialmente era
126120	132200	durante la Guerra Fría, era resultado de interés traducir rápidamente y abajo costa traducir
132200	136840	entre el ruso y el inglés, digamos, los norteamericanos les convenía poder traducir entre el
136840	141160	inglés y el ruso. Y bueno, en aquella época se imaginan lo que era los inicios de la computación,
141160	145480	las computadoras serán caras, en las lentas, no tenía mucho poderos de computos, pero igual había
145480	148840	como mucho optimismo, de que en poco tiempo se iba a poder resolver los problemas y vamos a tener
148840	155040	sistemas que iban a traducir barbaros. Y bueno, era más o menos la época de desarrollo de la
155040	159640	lingüística computacional, inspirado un poco en las teorías de Chomsky, estaba la idea que se
159640	164480	podía escribir reglas para todo y que a partir de eso se podría llegar a hacer cosas muy muy buenas,
164480	171060	es particular para la traducción. Hasta que en 1964 pareció el reporte Alpac,
171060	176240	Alpac era un comité que estaba estudiando, cuáles eran los avances en ingüística computacional,
176240	181720	porque se estaba poniendo mucha plata en muchas esas cosas. Y ellos demostraron escepticos acerca de
181720	185720	la traducción automática, acerca de los logros que se habían logrado después de todos esos años
185720	191200	de meter plata. Y decía bueno, pero se puso mucho dinero, pasó en muchos años, pero todavía
191200	196000	los humanos lo hacen más barato, con mayor precisión, más rápido, entonces como que para que estamos
196000	200960	gastando en esto. Como resultado de eso, un reporte de fondos, especialmente en Estados Unidos,
200960	204560	para todo lo que la traducción automática y esto fue parte de lo que se conoció como el
204560	209400	invierno de la inteligencia artificial, que un montón de proyectos de inteligencia artificial también
209400	214400	no teníamos el resultado, entonces se paró la financiación que había para todo eso durante unos
214440	219240	cuantos años, entonces se tuvo desarrollado unas cuantas cosas durante unos cuantos años. Y bueno,
