start	end	text
0	23920	Una vez que elegí con el paso 1, elegí cuántas palabras en español le voy a usar, en el paso
23920	27960	2 lo que voy a elegir es una alineación, una función de alineación que me dice cada
27960	31600	palabra con cuál se va a corresponder, cada palabra del lado del español con qué palabra
31600	37920	en inglés se va a corresponder. Este modelo asume de manera muy naiv que todas las alineaciones
37920	45080	que yo puedo tener son equiprobables. O sea, asume que yo voy a tener un conjunto de alineaciones
45080	50160	posibles y todas van a tener la misma probabilidad. Bien, entonces, la probabilidad de elegir
50160	55440	una alineación en particular, si yo tengo un montón de alineaciones, digamos, la probabilidad
55440	60560	de elegir una alineación en particular, va a ser uno sobre la cantidad de alineaciones
60560	66080	que tengo, porque en realidad todas van a ser equiprobables. Bien, entonces, ¿cuántas
66080	70040	alineaciones puedo tener entre dos oraciones, una oración en inglés que tiene largo I y
70040	73720	una oración en español que tiene largo J? ¿Cómo puedo calcular cuántas alineaciones
73720	90480	existen? Más o menos, sí, casi la J. Recuerden que del lado de inglés yo tenía ciertas
90480	101520	palabras, en inglés tenía la palabra E1, E2 hasta, subí, y en español tenía las palabras
101520	112120	F1, F2 hasta F subj. Entonces, yo podía trazar líneas para alinear, pero además en inglés
112120	117040	yo siempre he considerado que tenía un token nul, entonces todas las palabras que no estaban
117040	123000	alineadas del lado del español iban a parar ahí. Así que en inglés en realidad no tengo
123000	127480	i posibilidades, tengo una más, tengo i más uno. Entonces, ¿cuántas formas tengo yo
127480	134040	de mapear estas J posibilidades en español con las I de inglés? Exacto, i más uno a
134040	137920	la J, porque yo tengo i más un opciones para la primera y más una opciones para la segunda,
137920	146920	etcétera, hasta que llevo al final. Así que son i más uno a las J alineaciones posibles.
146920	163280	Ojo, el nul es como una pisadita que hago yo para alinear cosas que no tienen un correspondiente.
163280	171400	O sea, yo tenía una palabra en español que… Varias de las Fes pueden estar alineadas
171400	179080	de nul, no importa en qué orden están. Eso. Bien, entonces eran i más uno a las J posibles
179080	189320	alineaciones, por lo tanto, la probabilidad de elegir una alineación A dada la oración
189320	194640	en inglés, la probabilidad de elegir una alineación cualquiera dada la oración en
194640	201040	inglés va a ser el producto de la probabilidad de haber sorteado un valor J primero, que era
201040	206280	epsilon por la probabilidad de elegir una alineación cualquiera para ese J, que es
206280	213560	uno sobre i más uno a la J. Bien, entonces esto lo resumimos como epsilon sobre i más
213560	225160	uno a la J. Epsilon sobre i más uno a la J es la probabilidad de, dada una oración
225160	231560	en inglés, elegir cierta alineación que yo voy a utilizar. Bien, ese fue el segundo
231560	238160	paso. El tercer paso es una vez que ya tengo la alineación, voy mirando cada palabra del
238160	243880	lado en inglés y le voy poniendo una palabra correspondiente del lado español. Para acá
243880	247960	voy a asumir que yo tengo una tabla de traducción, una tabla de traducción que me dice que tiene
247960	251360	de un lado todas las palabras en español y del otro lado todas las palabras en inglés,
251360	258200	entonces mi tabla va a tener una forma como, por ejemplo, hacer una tabla así que de un
258200	267360	lado va a decir las palabras en español como banco, perro, gato y más cosas y del otro
267360	275000	lado va a tener las correspondientes en inglés como bank, bench, cut, tree y más cosas.
275000	279400	Y entonces esta tabla va a decir la probabilidad de traducir una cosa en la gota. Entonces banco
279400	284400	probablemente tenga cierta probabilidad para bank y cierta probabilidad para bench, 0.4
284400	293000	y 0.6, 0.06 puse. Y para cut no va a tener ninguna probabilidad y para tree tampoco
293000	298720	y después perro no va a tener nada de esto, pero sí después y cut va a ser, no sé 0.8
298720	303000	en este caso, etcétera. Voy a tener una tabla bastante grande que tiene todas las posibilidades
303000	312040	de traducir una palabra como otra. Entonces si yo tengo esa tabla, lo que puedo decir
312040	320440	es que la forma de calcular la probabilidad de esa oración final que yo traduje va a
320440	323520	depender de cuáles son las palabras que yo elija, va a depender de cuáles son las palabras
323520	331080	que yo haya puesto dentro de mi oración para traducir. Entonces esa tabla que está
331080	338320	ahí definida, le llamamos acá en la slide, aparece como t de f sub x sub y dice que la
338320	348280	probabilidad de traducir la palabra es sub y como f sub x. Entonces saca de una cosa importante.
348280	357120	Si tenemos la oración en inglés, la oración en inglés recuerdan que tenía las palabras
357120	363560	f sub 1, f sub 2 hasta f sub n, la oración en español tenía las palabras f sub 1, f
363560	370080	sub 1, f sub 2 hasta f sub j. Y yo tenía en el medio una función de alineación que
370080	379600	me decía qué palabra se correspondía con cuál. Entonces no era f sub n ni f sub j.
379600	392200	Era f sub i y f sub j grande. Esto era f sub i y esto era f sub j grande. Entonces si yo
392200	399560	tengo una palabra cualquiera dentro de la oración en español, tengo un f sub j chica
399560	405160	dentro de la oración en español, esto se va a corresponder con algún f sub i chica
405160	409720	en la oración en inglés, digamos. Yo sé que esto se cumple por la función de alineación
409720	412560	porque agarra y mapea todas las palabras que están en español con algo que está del
412560	417160	lado del inglés, potencialmente con el token vacío nul.
417160	422240	Bien, entonces tengo una palabra del lado del español que es f sub j y una palabra del
422240	427520	lado del inglés que es f sub i. ¿Cuál es la relación entre f sub j y f sub i? ¿Cómo
427520	440000	es la relación entre sí, digamos? Yo puedo decir que el i es igual a algo de j. ¿De alguna
440000	447920	manera? La función de alineación, ahí está. O sea, el i es igual a la función de alineación
447920	455080	aplicada j. Como la i, el índice de este de acá es igual a la función de alineación
455080	463160	aplicada j. Entonces, yo puedo decir que la palabra f sub i es igual a la palabra e sub
463160	468600	a sub j. Así que puedo decir que, en realidad, los que están alineados son la palabra f
468600	475240	sub j está alineada con la palabra e sub a sub j. Y ahí me saqué el i de encima, digamos.
475240	481840	Simplemente, iterando sobre las palabras, iterando sobre la j puedo establecer la correspondencia
481960	490960	entre las dos palabras. Y eso es un poco lo que dice acá para terminar de armar lo que
490960	493800	es el modelo de traducción. Para terminar de armar el modelo de traducción dicen que
493800	497720	en el tercer paso yo voy a elegir cuáles son las palabras. Entonces, lo que voy a hacer
497720	505120	es iterar sobre todas las palabras y haciendo el producto de todas las probabilidades. O
505120	511520	sea, el producto de dado que yo tenía la palabra f sub j, perdón, dado que yo tenía la palabra
511600	517520	e sub a sub j en inglés, entonces elegir la palabra f sub j en español. Eso hago una
517520	525760	productoria con todos los valores de las distintas palabras. Bien, entonces ahí llegué
525760	535040	a el último de los valores que quería calcular, que es la probabilidad de f dado que conozco
535040	545560	ahí es igual a la productoria con j igual a 1 hasta j grande de el valor de la tabla
545560	559720	de traducción, que es t sub f sub j, t de f sub j e sub a sub j. Bueno, ahí tengo cómo
559720	565320	en cada paso fui calculando cosas, este se correspondía al paso uno del modelo, paso
565320	569040	uno, este se corresponde con el paso dos del modelo, en realidad este ya tiene el paso
569040	572360	uno y el paso dos juntos porque ya tengo el éxilón acá y este se corresponde con el
572360	581840	paso tres del modelo. El paso tres de la historia de generación. Mi objetivo con todos estos
581840	592280	valores que están acá es calcular p de f dado e. ¿Qué parámetros introduce? ¿Qué
592280	596440	parámetros fueron surgiendo a medida que yo iba iterando sobre estos pasos? Bueno, en
596440	600320	primer lugar el éxilón aquel que estábamos viendo, este es un valor que yo tendría que
600320	606440	estimar a partir de mirar en los corpus como son los largos de las oraciones relativos
606440	609920	y el otro parámetro importante es aquella tabla de allá, aquella tabla de traducción
609920	613800	es que me dice banco, con qué probabilidad lo puedo traducir como bank, con qué probabilidad
613800	618760	lo puedo traducir como bench, etcétera, etcétera. Esa tabla en realidad es un parámetro del
618760	622040	modelo, es un parámetro del sistema que si yo lo tuviera me alcanzaría con eso para
622040	627360	poder construirme este modelo y calcular la probabilidad de cualquier par de oraciones.
627360	639200	Bien, y entonces antes de continuar vamos a terminar de armar cuál es la imagen de esto,
639200	644240	que es decir yo en realidad lo que quería calcular era p de f dado e, que eso va a ser
644240	649640	mi modelo de traducción y de hecho va a ser el encargado de medir la adecuación de una
649640	655560	frase. P de f dado e lo puedo calcular con esta descomposición de pasos que hice acá
