start	end	text
0	25260	La clase pasada estuvimos viendo una metodología de clasificación en general, así para cualquier
25260	36620	problema de clasificación, especialmente cómo separar el corpus, qué medidas utilizar. Una
36620	43220	cantidad de aspectos metodológicos que son muy importantes y que lo hicimos independiente del
43220	46620	dominio en el que estamos, que es el depresamiento de lenguajas natural porque aplica para cualquier
46620	52020	problema de clasificación. Problemas de clasificación y los métodos a aplicar a utilizar se pueden
52020	56820	definir en general. De hecho, en el curso de aprendizaje automático, ustedes aprenden con más
56820	60860	detalle lo que vimos en parte del curso de aprendizaje automático, aprenden con más detalle lo que
60860	70180	ayer vimos en una clase sola. Porque se ven diferentes métodos, excluimos cuál era el método en
70180	79500	particular y hablamos en general un clasificador, un clasificador supervisado, dijimos aquel caso
79500	86460	donde yo tengo un conjunto de instancias de cosas, un conjunto de clases discreto y tengo que
86460	93740	asignarle a cada instancia, la tarea de desasignarle a cada una de esas instancias uno del grupo de
93740	98060	clases. Si yo tengo un conjunto de documentos y quiero saber en qué idioma está lo que estoy
98060	103180	haciendo es un problema de clasificación. Tengo el conjunto de los documentos, tengo las clases
103180	107700	que son los idiomas posibles y yo tengo que a cada uno asociarle una clase. Podría eventualmente
107700	112260	ser más de una clase, podemos tener un problema multiclase, es decir hay variantes ¿no? Yo podría
112260	119180	decir que a cada documento era signo más de una clase, por ejemplo si lo quiero clasificar el
119180	125740	tópico de un documento, esto puede ser de espectáculos y de deportes o estamos hablando de
125740	136740	guandanar a poner. En la clase de hoy lo que vamos a ver es vamos a hablar de los métodos que hay
136740	142420	de clasificación de algunos métodos y de cómo se aplican algunas tareas del procesamiento de
142420	147180	lenguaje natural. Vamos a hablar un poco de las características del método y de cómo intanciarlo
147180	155100	en algún caso de ejemplo. Como yo decía en la clase pasada, los métodos de clasificación
155100	163940	están muy difundidos en todos los diferentes análisis porque generalmente los elementos
163940	168020	de dominio con lo que trabajamos son discretos, las palabras, las oraciones, los documentos,
168020	177260	los tweets son todas cosas discretas. Entonces en general vamos a ver métodos de clasificación
177260	185180	supervisadas. Si yo quisiera por ejemplo un ejemplo concreto, un proyecto que tuvimos el año
185180	194540	pasado que era que clasificaba un tweet si era un chiste o no, esa era una tarea de clasificación,
194540	202340	una tarea que también encaramos aunque no con demasiado éxito, era la de calificar el chiste
202340	210140	en un rango, en un, por vacinar un valor de qué tan bueno estaba, digamos, si se podía llegar
210300	215900	a capturar eso y ahí si yo como lo planteamos nosotros era que vos le podías poner una,
215900	220300	dos, tres, cuatro, cinco estrellas, eso sigue siendo un problema de clasificación supervisada,
220300	225060	pero si esto yo lo considerara un continuo, ahí tendríamos un problema de regresión,
225060	229900	no son usuales, los problemas de regresión de pasamiento no van a que natural porque nuestros
229900	236420	niños generalmente son discretos. Bueno, pero vamos a método de clasificación supervisada y en
236420	244060	particular vamos a hablar de métodos probabilistas. Los métodos probabilistas en general tenemos
244060	248580	la instancia, o sea yo no voy a volver sobre la terminología que vimos hace pasada, tenemos la
248580	254820	instancia representada por atributos y queremos asignarlo a una clase, pero además los métodos
254820	261980	probabilistas lo que hacen es asignarle una probabilidad a cada clase posible. Entonces yo no
262020	273540	solo te digo esta instancia, esta instancia, este tweet es humorístico, sino que te digo este
273540	283780	tweet tiene un 85% de chances en humorístico y no humorístico un 15%. Y esto por supuesto
283780	289940	tiene que ser una distribución de probabilidad, sumar uno y tal, mayor que cero. Entonces
292020	296700	y además los métodos probabilistas intentan obtener una distribución sobre las clases
296700	297620	dado en los atributos.
303980	309180	Y por supuesto clasificar en general va a ser, uno va a elegir la clase con la probabilidad más alta.
310620	315380	Así es que no quiere simplemente dejar de volver esa distribución para que otra etapa
315380	328620	del proceso lo utilice. Yo tengo la posibilidad de hacer eso. Los métodos generativos, que son
328620	333860	uno de los tipos de métodos que hay, lo que intentan es, son los que hemos estado viendo
333860	337900	hasta ahora en general y es lo que tratan de modelar la distribución conjunta, es decir,
337900	350180	la clase junto con los atributos, ¿sí? Y las etiquetas, ¿de acuerdo? ¿Por qué? Porque es lo que
350180	356580	necesitan para, a partir de la regla de Valle. Es decir, yo quiero la clase dada del conjunto de
356580	359900	features, ¿se acuerdan que la feature era nuestra representación del documento, ¿no?
360220	367940	Característica que, Valle a la redundancia caracterizaban al documento. Entonces, la probabilidad
367940	373580	de la clase dada de los atributos es igual, la probabilidad conjunta dividida de la probabilidad
373580	378500	de los atributos, ¿sí? Por definición, por la definición de probabilidad condicional.
383180	387940	¿De acuerdo? Entonces lo que tratan de modelar es esto. ¿Por qué lo hacen? ¿Por qué esta
387940	392860	probabilidad generalmente son más fáciles de estimar que las otras? ¿Por qué la puedo
392860	399460	estimar contando más fácilmente? ¿Por qué? Porque fíjense que yo como condiciono en dada
399460	405580	de la clase, digamos, yo, por ejemplo, puedo asumir independencia entre las variables aleatorias esta,
405580	410380	o sea, entre los atributos y puedo decir, si estas son independientes, p de x1 dado c
410700	417380	por p de x2 dado c, ¿no? ¿Esto no lo puedo hacer de este lado? Yo no puedo decir p de c
417380	422940	dado x1, porque no funciona así la probabilidad, digamos. La independencia la puedo dejar de acá
422940	432900	al lado. Y cualquier propiedad de dependencia entre variables aleatorias se mira de este lado,
432900	436940	¿no? Eso genera toda una teoría que se llama la de los modelos gráficos, que por supuesto no
437020	441500	vamos a hablar acá, pero que me dicen, bueno, ¿cuál es la estructura que yo supongo en términos
441500	446700	de dependencia? Es decir, esta variable depende de esta, esta no, y así. Y puedo modelarlo con
446700	455420	un gráfico, como va a tomar. Entonces, llegan a esto, ¿no? La probabilidad de la clase,
455420	459180	dado los atributos, la probabilidad de la clase por la probabilidad de los atributos a la clase.
459180	463580	Esto es valles, ¿no? Y ya lo hemos visto varias veces en el curso, no estamos inventando nada.
464220	470180	Dividido la probabilidad de los atributos. Y bueno, y nada, lo que hemos hecho hasta ahora,
470180	476180	tanto la probabilidad priori, la PC como la probabilidad de verosimilitud, esta la puedo
476180	483380	estimar a partir de los datos. Esto ya lo hemos hecho. Pero vamos a tener que simplificar el problema.
483540	501980	El método nai valles lo que hace es asumir que los atributos son independientes entre sí,
501980	508820	lo cual es una barbaridad conceptual, si por ejemplo estamos hablando de un texto y los atributos son
508820	514900	las palabras que tiene. Realmente las palabras vienen acompañadas, se hacen amigas entre ellas,
514900	518540	digamos, ¿no? Si hay muy palabras positivas, muy probable que haya otras palabras positivas.
518540	525140	Bueno, valles dice, bueno, no sé, no sé. La probabilidad de una palabra solo depende de la clase.
528780	533940	Y por lo tanto eso hace que pueda partir la probabilidad, porque como son independientes,
533940	540100	la probabilidad de x1 dado x1 por xn dado c, la probabilidad de x1 dado c por la probabilidad de
540100	549540	x2 dado c, bla, bla. Y bueno, ¿y cómo construye un clasificador a partir de esto? Y bueno,
549540	555100	maximizo lo de arriba, busco la clase que maximice lo de arriba. Lo de abajo es independiente de la
555100	562140	clase. Entonces busco la clase que maximice lo de arriba y ahí tengo un clasificador. ¿De acuerdo?
563940	571540	Es muy sencillo, tomo todos los atributos que se me ocurren, los considero independientes. Ahora
571540	578860	lo moveremos en algún ejemplo y busco la clase que maximiza. El método Ney Valle funciona muy bien
578860	587260	como base para un clasificador y por poca plata uno hace un clasificador como la gente que capaz
587260	596220	que hasta le pueden llamar un AI en la prensa. Yo no sé de cuándo es el método de Ney Valle,
596220	603940	me suena como de los años 60, si bien se basa en el teoría de Valle que de 1700, pero funciona
603940	609260	muy bien. En general, como primera aproximación rápida o algo, uno puede usar Ney Valle sin mucho
609260	617660	cargo de conciencia y funciona en general muy bien. El método de Ney Valle es aplicado a la
617660	625660	clasificación de documentos. Utiliza una de las formas de darlo es utilizando lo que
625660	631340	se llama una aproximación vago words. Es el ejemplo, es como el ejemplo canónico de
631340	638220	clasificación, digamos, el vago word. Yo digo tengo todo esto, es un documento que tiene una
638220	644380	estructura, que tiene un orden entre las palabras, que tiene una sintaxis, que tiene
644380	651860	relaciones bien formadas, con una semántica, yo no le hago caso a nada de eso. Y lo que hago
651860	659180	solamente es considero que esto es una bolsa de palabras. La bolsa de se acuerdan, bolsa es
659180	666980	como un set, pero que puede tener elemento repetido. Una bolsa de palabras y tengo el conteo de
666980	676580	cantidad de veces que una palabra aparece en ese documento. Mi representación del documento es esto.
677940	687140	Me features son estos. Entonces, cómo hago clasificación, esto fue lo que hubo en la laboratoria
687140	694780	del año pasado. Entonces, cómo se instancia Ney Valle para el problema de clasificación de documento?
694780	700660	Bueno, las posiciones son todas las posiciones que tengo en el documento que quiero evaluar.
700660	704740	Yo quiero evaluar en la clase. Aguardo, quiero evaluar la clase en un documento,
704740	709500	entonces tengo las posiciones, que son todos los tokens que aparecen en cada palabra, en el documento.
709500	730580	Y la clase, según Ney Valle, es la clase que maximiza, quería comentar algo acá.
732100	739140	Esto en realidad es un conteo, pero yo acá la voy a contar seis veces. Por eso es un bug of words.
739500	749620	En las posiciones considero todas las posiciones posibles, como decía, y calculo la clase como la
749620	758700	clase que maximiza la probabilidad de cada palabra que aparece en el documento dado a esa clase.
759700	766020	¿Se entiende? Es la clase que hace más probable, considerando independencia,
772300	777180	que esa palabra es T en ese documento, digamos, ¿no? La probabilidad de W subida o C.
778860	783900	¿Y cómo hago para hacer eso? Y bueno, para calcular esos valores, para estimar esos valores,
784900	791380	yo digo, bueno, nuestro mejor estimador, este corrito quiere decir nuestro estimador,
791380	795420	nuestro mejor estimador de la clase, de la probabilidad priori, de la probabilidad,
795420	801060	estamos hablando de la probabilidad de la clase, si no tuvieramos la palabra, es decir,
801060	808820	yo puedo tener una distribución, yo tengo documentos que son o de deporte o de música,
808820	812900	vamos a suponer que son exclusivos, ¿tá? La probabilidad de la clase es el número de
812900	818740	documentos de deporte sobre el total, o sea, mi probabilidad priori, ¿se acuerdan de Valle,
818740	823340	¿no? Yo tengo una probabilidad priori que lo que pienso antes de empezar a ver el documento y
823340	827820	antes de ver el documento yo puedo decir, bueno, el 90% de los documentos son de deporte,
827820	835220	entonces mi probabilidad a priori es 0.9, ¿te acuerdo? Es mucho más probable a priori que sea un
835220	839980	documento de deporte, yo voy a ajustar esa probabilidad con la probabilidad de las palabras de
839980	846140	cada una, ¿te acuerdo? Entonces, yo estimo esa probabilidad priori con el número de
846140	854020	clase de documentos, que tienen la clase dividido el total de documentos. Y, similarmente,
857460	864180	estimo por conteo la probabilidad de cada palabra de la clase contando del total de
864180	871060	veces que aparecen todas las palabras en los documentos de esa clase, o sea, de todas las
871060	876580	palabras que aparecen en los documentos de deporte, ¿cuántas veces aparece esa palabra en la de
876580	884220	deporte? Tiene sentido, ¿no? Es una palabra común en un dominio de deportes, esta es lo que se
884220	892060	pregunta, y multiplica a todas esas probabilidades, que seguramente operativamente tengamos que usar
892060	898380	un logaritmo y sumar, porque si no nos va a dar todavía muy chiquita, pero conceptualmente lo
898380	908140	mismo. ¿Se entiende? ¿Por qué, en vez de usar esto, tengo que usar esto?
922340	923700	¿Por qué tengo que hacer eso?
936140	939460	¿Por qué tengo que hacer esto? ¿Qué es esto?
943820	949900	La plaza, le agrego uno, acaba contador para que no tenga el problema de que, porque si una de
949900	952900	estas probabilidades, lo mismo que nos pasó con los engramas, si le suena conocido, porque es lo
952900	960060	mismo, si una de aquella probabilidad de da cero, se me cancela toda la clase, la probabilidad de
960060	970500	clase va a ser cero. Entonces para eso hacemos la plaza, hacemos smoothing, suavizado, agregándole
970500	981820	uno a cada contador. Por ejemplo, bueno todo esto que yo estoy diciendo está en el capítulo 7,
981820	988820	más o menos, que es general, del capítulo 7 del libro de Martin Yurashki. El libro de Martin Yurashki
988820	993900	está online, los capítulos nuevos, de hecho todos los capítulos correspondientes a clases que
993900	1000180	hemos dado están online, yo realmente les recomiendo leerlos un libro que está muy claro, no va a
1000180	1006140	tener mucha más dificultad que lo que vemos en la clase, por lo menos no se, uno pierde perspectiva,
1006140	1019620	no? Está claro, pero, pero... ¿Qué le pasa? Le agrajo de si, si me giro nada, si, si, y ahí pueden
1019620	1026420	chequear y hay algunos detalles más que me parecen muy interesantes, si a ustedes les interesa. Bueno,
1027380	1032940	supongamos que nosotros tenemos el cuerpo de entrenamiento que tenemos arriba, las oraciones que
1032940	1040820	están arriba y con una categoría negativa o positiva, algún tipo, en este caso estamos haciendo
1040820	1047260	sentimenta análisis, es decir, analizar si la percepción es positiva o negativa sobre un documento.
1047860	1058140	En el cuerpo de los tweets hacíamos algo así, algo parecido, es decir, yo necesito saber si la clase
1058140	1066260	del cuerpo del tweet es de humor o no humor. Bueno, y ahí tenemos algunos ejemplos negativos y otros
1066260	1072420	positivos y queremos saber qué pasa con predictable with no originality. Entonces,
1073140	1082180	la probabilidad priori de la clase cuál es y es el total de documentos hay 1, 2, 3, 4, 5,
1083780	1088500	de los cuales tres son negativas y dos son positivas, o sea, que estas son nuestra probabilidad
1088500	1098140	priori. Y luego entramos a buscar la probabilidad de cada palabra. La probabilidad de predictable,
1098140	1104500	dado que la clase es negativa, es 1 que es la ocurrencia de predictable,
1104500	1109660	predictable solo aparece en la segunda oración y en un contexto negativo.
1112580	1119020	Entonces, a cada 1 y a cada tenemos el más 20 es para normalizar, para la plaza,
1119020	1123860	o sea, 1 más 1 y 14, que es el total de palabras más 20, 14 es el total de palabras diferente.
1124860	1125580	¿De acuerdo?
1131140	1136860	De las palabras diferentes. ¿La palabras? ¿Cómo fáciles verlo acá?
1136860	1139220	Sí, es la clase, ¿no?
1140740	1145660	De la clase. ¿La cantidad de palabras que hay en la clase? No, no son diferentes, son todas.
