start	end	text
0	5320	Vamos a empezar hoy a ver el tema semántica, no veníamos en el curso segon donde
5320	10800	hagamos visto el pipeline de procesamiento del del N, lo vimos en la primera clase con
10800	15480	las etapas clásicas de procesamiento del del N, empezamos por este análisis
15480	22400	bonético, fonológico, no interpretar señales o no horas, convertir eso en texto,
22480	32280	cuál red es, convertir texto en voz, después vimos que una segunda etapa sería el análisis
32280	37840	morfológico, no hay trabajo a nivel de la palabra y la estructura de la palabra, los morfemas que
37840	45320	componen la palabra, después viene el nivel sintático en donde estudió como signomina en las
45320	52120	palabras para formar oraciones, pero también aquellos grupos un dame de Dios que llamamos
52120	57960	sintagmas o grupos o frases que tienen un sentido de que son importantes para
57960	63360	la parte de esta lingüística, y también para nosotros en PLEN, poder trabajar con los
63360	70200	sintagmas, científicarlos y analizarlos es importante, también es un paso útil en general
70200	77740	y después viene en aquella secuencia de etapas clásicas de analisis en lenguaje, el
77820	83740	analisis se mantigo, yo ya me iguales son las palabras como se combina para formar estructuras
83740	89060	de cuáles son las estructuras correctas o posibles distintas formas de analizarlas también,
89060	94580	porque ustedes vieron con un Juanjo que el análisis sintáctico se va a hacer en base a distintas
94580	100500	formalismos, gramaticales, distintas tipos de gramáticas para analizar el lenguaje, y después
100500	110940	viene en la parte de entender lo que esas oraciones dicen, todo el tiempo nosotros estamos
110940	118300	interpretando lo que otras personas dicen o lo que le hemos para entender lo que nos
118300	124060	están transmitiendo, o sea que todos los días realizamos algún tipo de procesamiento
124140	134820	se mantigo para todo eso que estamos escuchando o leyendo convertirlo en significado de alguna manera,
134820	140940	lo hacemos, tiempo para acá hay algunas tareas donde es como muy obvio que estoy necesitan
140940	147620	interpretar lo que leo, por ejemplo cuando estoy haciendo un examen, leo una pregunta, el
147620	153580	de drones ejercicio de o que entender bien lo que me están transmitiendo ahí si y poderzo
153580	162860	elaborar una respuesta, cuando voy al restaurante vio el menú, quiero que voy a pedir,
162860	166540	que voy a comer, de o que entender lo que dice el menú, las palabras con las palabras,
166540	173060	el menú, cuando leo un manual para aprender a usar un software, una parado, un electromagnético,
173140	178980	lo que sea, cuando voy a cocinar, siendo una receta, bueno y todo lo que estamos haciendo
178980	184220	acá, yo estoy hablando, ustedes están en este momento, incluso encendido todo el pague,
184220	191580	la no me escuchan, pero se están mi voz, enviando de alguna manera, esto lo traduce en algunas
